OBEC,OKRES,KRAJ
Míchov,Blansko,"Jihomoravský kraj"
Mičovice,Prachatice,"Jihočeský kraj"
Míčov-Sušice,Chrudim,"Pardubický kraj"
Mikolajice,Opava,"Moravskoslezský kraj"
Mikulášovice,Děčín,"Ústecký kraj"
Mikulčice,Hodonín,"Jihomoravský kraj"
Mikuleč,Svitavy,"Pardubický kraj"
Mikulov,Břeclav,"Jihomoravský kraj"
Mikulovice,Jeseník,"Olomoucký kraj"
Mikulovice,Pardubice,"Pardubický kraj"
Mikulovice,Třebíč,Vysočina
Mikulovice,Znojmo,"Jihomoravský kraj"
Mikulov,Teplice,"Ústecký kraj"
Mikulůvka,Vsetín,"Zlínský kraj"
Milasín,"Žďár nad Sázavou",Vysočina
Milavče,Domažlice,"Plzeňský kraj"
Milčice,Nymburk,"Středočeský kraj"
Mileč,Plzeň-jih,"Plzeňský kraj"
Milejovice,Strakonice,"Jihočeský kraj"
Milenov,Přerov,"Olomoucký kraj"
Milešín,"Žďár nad Sázavou",Vysočina
Milešovice,Vyškov,"Jihomoravský kraj"
Milešov,Příbram,"Středočeský kraj"
Miletín,Jičín,"Královéhradecký kraj"
Milevsko,Písek,"Jihočeský kraj"
Milhostov,Cheb,"Karlovarský kraj"
Miličín,Benešov,"Středočeský kraj"
Milíčovice,Znojmo,"Jihomoravský kraj"
Milíčov,Jihlava,Vysočina
Milíkov,Cheb,"Karlovarský kraj"
Milíkov,Frýdek-Místek,"Moravskoslezský kraj"
Milínov,Plzeň-jih,"Plzeňský kraj"
Milín,Příbram,"Středočeský kraj"
Milíře,Tachov,"Plzeňský kraj"
Milonice,Blansko,"Jihomoravský kraj"
Milonice,Vyškov,"Jihomoravský kraj"
Miloňovice,Strakonice,"Jihočeský kraj"
Milostín,Rakovník,"Středočeský kraj"
Milotice,Hodonín,"Jihomoravský kraj"
"Milotice nad Bečvou",Přerov,"Olomoucký kraj"
"Milotice nad Opavou",Bruntál,"Moravskoslezský kraj"
Milovice,Břeclav,"Jihomoravský kraj"
Milovice,Jičín,"Královéhradecký kraj"
Milovice,Nymburk,"Středočeský kraj"
Milý,Rakovník,"Středočeský kraj"
Mimoň,"Česká Lípa","Liberecký kraj"
Minice,Písek,"Jihočeský kraj"
Miřejovice,Litoměřice,"Ústecký kraj"
Miřetice,Benešov,"Středočeský kraj"
Miřetice,Chrudim,"Pardubický kraj"
Mířkov,Domažlice,"Plzeňský kraj"
Mirkovice,"Český Krumlov","Jihočeský kraj"
"Miroslavské Knínice",Znojmo,"Jihomoravský kraj"
Miroslav,Znojmo,"Jihomoravský kraj"
Mirošovice,Praha-východ,"Středočeský kraj"
Mirošov,Jihlava,Vysočina
Mirošov,Rokycany,"Plzeňský kraj"
Mirošov,"Žďár nad Sázavou",Vysočina
Mirotice,Písek,"Jihočeský kraj"
Mírová,"Karlovy Vary","Karlovarský kraj"
"Mírová pod Kozákovem",Semily,"Liberecký kraj"
Mirovice,Písek,"Jihočeský kraj"
Mírov,Šumperk,"Olomoucký kraj"
Míškovice,Kroměříž,"Zlínský kraj"
Miskovice,"Kutná Hora","Středočeský kraj"
Mišovice,Písek,"Jihočeský kraj"
Míšov,Plzeň-jih,"Plzeňský kraj"
Místo,Chomutov,"Ústecký kraj"
Mistřice,"Uherské Hradiště","Zlínský kraj"
Mistrovice,"Ústí nad Orlicí","Pardubický kraj"
"Mladá Boleslav","Mladá Boleslav","Středočeský kraj"
"Mladá Vožice",Tábor,"Jihočeský kraj"
"Mladé Bříště",Pelhřimov,Vysočina
"Mladé Buky",Trutnov,"Královéhradecký kraj"
Mladecko,Opava,"Moravskoslezský kraj"
Mladeč,Olomouc,"Olomoucký kraj"
Mladějovice,Olomouc,"Olomoucký kraj"
Mladějov,Jičín,"Královéhradecký kraj"
"Mladějov na Moravě",Svitavy,"Pardubický kraj"
Mladkov,"Ústí nad Orlicí","Pardubický kraj"
Mladoňovice,Chrudim,"Pardubický kraj"
Mladoňovice,Třebíč,Vysočina
Mladošovice,"České Budějovice","Jihočeský kraj"
Mladotice,Plzeň-sever,"Plzeňský kraj"
"Mladý Smolivec",Plzeň-jih,"Plzeňský kraj"
Mlázovice,Jičín,"Královéhradecký kraj"
Mlečice,Rokycany,"Plzeňský kraj"
Mlékojedy,Litoměřice,"Ústecký kraj"
Mlékosrby,"Hradec Králové","Královéhradecký kraj"
"Mlýnské Struhadlo",Klatovy,"Plzeňský kraj"
Mlýny,Tábor,"Jihočeský kraj"
Mnetěš,Litoměřice,"Ústecký kraj"
Mnichov,Cheb,"Karlovarský kraj"
Mnichov,Domažlice,"Plzeňský kraj"
Mnichovice,Benešov,"Středočeský kraj"
Mnichovice,Praha-východ,"Středočeský kraj"
"Mnichovo Hradiště","Mladá Boleslav","Středočeský kraj"
Mnichov,Strakonice,"Jihočeský kraj"
Mnich,Pelhřimov,Vysočina
Mníšek,Liberec,"Liberecký kraj"
"Mníšek pod Brdy",Praha-západ,"Středočeský kraj"
Močerady,Domažlice,"Plzeňský kraj"
Mochov,Praha-východ,"Středočeský kraj"
Mochtín,Klatovy,"Plzeňský kraj"
Močovice,"Kutná Hora","Středočeský kraj"
Modlany,Teplice,"Ústecký kraj"
Modletice,Praha-východ,"Středočeský kraj"
Modlíkov,"Havlíčkův Brod",Vysočina
"Modrá Hůrka","České Budějovice","Jihočeský kraj"
Modrá,"Uherské Hradiště","Zlínský kraj"
Modrava,Klatovy,"Plzeňský kraj"
Modřice,Brno-venkov,"Jihomoravský kraj"
Modřišice,Semily,"Liberecký kraj"
Modřovice,Příbram,"Středočeský kraj"
"Mohelnice nad Jizerou","Mladá Boleslav","Středočeský kraj"
Mohelnice,Plzeň-jih,"Plzeňský kraj"
Mohelnice,Šumperk,"Olomoucký kraj"
Mohelno,Třebíč,Vysočina
Mojné,"Český Krumlov","Jihočeský kraj"
Mokošín,Pardubice,"Pardubický kraj"
Mokrá-Horákov,Brno-venkov,"Jihomoravský kraj"
"Mokré Lazce",Opava,"Moravskoslezský kraj"
Mokré,"Rychnov nad Kněžnou","Královéhradecký kraj"
Mokrosuky,Klatovy,"Plzeňský kraj"
Mokrouše,Plzeň-město,"Plzeňský kraj"
Mokrovousy,"Hradec Králové","Královéhradecký kraj"
Mokrovraty,Příbram,"Středočeský kraj"
"Mokrý Lom","České Budějovice","Jihočeský kraj"
Moldava,Teplice,"Ústecký kraj"
Morašice,Chrudim,"Pardubický kraj"
Morašice,Pardubice,"Pardubický kraj"
Morašice,Svitavy,"Pardubický kraj"
Morašice,Znojmo,"Jihomoravský kraj"
Moravany,Brno-venkov,"Jihomoravský kraj"
Moravany,Hodonín,"Jihomoravský kraj"
Moravany,Pardubice,"Pardubický kraj"
"Moravecké Pavlovice","Žďár nad Sázavou",Vysočina
Moraveč,Pelhřimov,Vysočina
Moravec,"Žďár nad Sázavou",Vysočina
Moravičany,Šumperk,"Olomoucký kraj"
Moravice,Opava,"Moravskoslezský kraj"
Morávka,Frýdek-Místek,"Moravskoslezský kraj"
"Moravská Nová Ves",Břeclav,"Jihomoravský kraj"
"Moravská Třebová",Svitavy,"Pardubický kraj"
"Moravské Bránice",Brno-venkov,"Jihomoravský kraj"
"Moravské Budějovice",Třebíč,Vysočina
"Moravské Knínice",Brno-venkov,"Jihomoravský kraj"
"Moravské Málkovice",Vyškov,"Jihomoravský kraj"
"Moravskoslezský Kočov",Bruntál,"Moravskoslezský kraj"
"Moravský Beroun",Olomouc,"Olomoucký kraj"
"Moravský Krumlov",Znojmo,"Jihomoravský kraj"
"Moravský Písek",Hodonín,"Jihomoravský kraj"
"Moravský Žižkov",Břeclav,"Jihomoravský kraj"
Mořice,Prostějov,"Olomoucký kraj"
Mořina,Beroun,"Středočeský kraj"
Mořinka,Beroun,"Středočeský kraj"
"Morkovice - Slížany",Kroměříž,"Zlínský kraj"
Mořkov,"Nový Jičín","Moravskoslezský kraj"
Morkůvky,Břeclav,"Jihomoravský kraj"
Mošnov,"Nový Jičín","Moravskoslezský kraj"
Mostek,Trutnov,"Královéhradecký kraj"
Mostek,"Ústí nad Orlicí","Pardubický kraj"
Mostkovice,Prostějov,"Olomoucký kraj"
Most,Most,"Ústecký kraj"
"Mosty u Jablunkova",Frýdek-Místek,"Moravskoslezský kraj"
Mouchnice,Hodonín,"Jihomoravský kraj"
Mouřínov,Vyškov,"Jihomoravský kraj"
Moutnice,Brno-venkov,"Jihomoravský kraj"
Mrač,Benešov,"Středočeský kraj"
Mrákotín,Chrudim,"Pardubický kraj"
Mrákotín,Jihlava,Vysočina
Mrákov,Domažlice,"Plzeňský kraj"
Mratín,Praha-východ,"Středočeský kraj"
Mříčná,Semily,"Liberecký kraj"
Mrlínek,Kroměříž,"Zlínský kraj"
Mrsklesy,Olomouc,"Olomoucký kraj"
Mrtník,Plzeň-sever,"Plzeňský kraj"
Mrzky,Kolín,"Středočeský kraj"
"Mšecké Žehrovice",Rakovník,"Středočeský kraj"
Mšec,Rakovník,"Středočeský kraj"
Mšené-lázně,Litoměřice,"Ústecký kraj"
Mšeno,Mělník,"Středočeský kraj"
Mukařov,"Mladá Boleslav","Středočeský kraj"
Mukařov,Praha-východ,"Středočeský kraj"
Mutějovice,Rakovník,"Středočeský kraj"
Mutěnice,Hodonín,"Jihomoravský kraj"
Mutěnice,Strakonice,"Jihočeský kraj"
Mutěnín,Domažlice,"Plzeňský kraj"
Mutkov,Olomouc,"Olomoucký kraj"
Mydlovary,"České Budějovice","Jihočeský kraj"
Myslejovice,Prostějov,"Olomoucký kraj"
Mysletice,Jihlava,Vysočina
Mysletín,Pelhřimov,Vysočina
Myslibořice,Třebíč,Vysočina
Mysliboř,Jihlava,Vysočina
Myslinka,Plzeň-sever,"Plzeňský kraj"
Myslín,Písek,"Jihočeský kraj"
Myslív,Klatovy,"Plzeňský kraj"
Myslkovice,Tábor,"Jihočeský kraj"
Mysločovice,Zlín,"Zlínský kraj"
Myslovice,Klatovy,"Plzeňský kraj"
Myštěves,"Hradec Králové","Královéhradecký kraj"
Myštice,Strakonice,"Jihočeský kraj"
Mýto,Rokycany,"Plzeňský kraj"
Mžany,"Hradec Králové","Královéhradecký kraj"
Nabočany,Chrudim,"Pardubický kraj"
Načeradec,Benešov,"Středočeský kraj"
Načešice,Chrudim,"Pardubický kraj"
Náchod,Náchod,"Královéhradecký kraj"
Nadějkov,Tábor,"Jihočeský kraj"
Nadějov,Jihlava,Vysočina
Nadryby,Plzeň-sever,"Plzeňský kraj"
Nahořany,Náchod,"Královéhradecký kraj"
Nahošovice,Přerov,"Olomoucký kraj"
Náklo,Olomouc,"Olomoucký kraj"
Nákří,"České Budějovice","Jihočeský kraj"
Naloučany,Třebíč,Vysočina
Nalžovice,Příbram,"Středočeský kraj"
"Nalžovské Hory",Klatovy,"Plzeňský kraj"
"Náměšť nad Oslavou",Třebíč,Vysočina
"Náměšť na Hané",Olomouc,"Olomoucký kraj"
Napajedla,Zlín,"Zlínský kraj"
Nárameč,Třebíč,Vysočina
Narysov,Příbram,"Středočeský kraj"
Nasavrky,Chrudim,"Pardubický kraj"
Nasavrky,Tábor,"Jihočeský kraj"
Nasavrky,"Ústí nad Orlicí","Pardubický kraj"
Násedlovice,Hodonín,"Jihomoravský kraj"
Našiměřice,Znojmo,"Jihomoravský kraj"
Návojná,Zlín,"Zlínský kraj"
Návsí,Frýdek-Místek,"Moravskoslezský kraj"
Nebahovy,Prachatice,"Jihočeský kraj"
Nebanice,Cheb,"Karlovarský kraj"
Nebílovy,Plzeň-jih,"Plzeňský kraj"
Nebovidy,Brno-venkov,"Jihomoravský kraj"
Nebovidy,Kolín,"Středočeský kraj"
Nebřehovice,Strakonice,"Jihočeský kraj"
Nebužely,Mělník,"Středočeský kraj"
Nechanice,"Hradec Králové","Královéhradecký kraj"
Nechvalice,Příbram,"Středočeský kraj"
Nechvalín,Hodonín,"Jihomoravský kraj"
Nečín,Příbram,"Středočeský kraj"
Nečtiny,Plzeň-sever,"Plzeňský kraj"
Nedabyle,"České Budějovice","Jihočeský kraj"
Nedachlebice,"Uherské Hradiště","Zlínský kraj"
Nedakonice,"Uherské Hradiště","Zlínský kraj"
"Nedašova Lhota",Zlín,"Zlínský kraj"
Nedašov,Zlín,"Zlínský kraj"
Neděliště,"Hradec Králové","Královéhradecký kraj"
Nedomice,Mělník,"Středočeský kraj"
Nedrahovice,Příbram,"Středočeský kraj"
Nedvědice,Brno-venkov,"Jihomoravský kraj"
Nedvězí,Svitavy,"Pardubický kraj"
Nehodiv,Klatovy,"Plzeňský kraj"
Nehvizdy,Praha-východ,"Středočeský kraj"
Nejdek,"Karlovy Vary","Karlovarský kraj"
Nejepín,"Havlíčkův Brod",Vysočina
Nekmíř,Plzeň-sever,"Plzeňský kraj"
Nekoř,"Ústí nad Orlicí","Pardubický kraj"
Nekvasovy,Plzeň-jih,"Plzeňský kraj"
Nelahozeves,Mělník,"Středočeský kraj"
Nelepeč-Žernůvka,Brno-venkov,"Jihomoravský kraj"
Nelešovice,Přerov,"Olomoucký kraj"
Nemanice,Domažlice,"Plzeňský kraj"
Němčany,Vyškov,"Jihomoravský kraj"
Němčice,Blansko,"Jihomoravský kraj"
Němčice,Domažlice,"Plzeňský kraj"
Němčice,Kolín,"Středočeský kraj"
Němčice,Kroměříž,"Zlínský kraj"
Němčice,"Mladá Boleslav","Středočeský kraj"
"Němčice nad Hanou",Prostějov,"Olomoucký kraj"
Němčice,Pardubice,"Pardubický kraj"
Němčice,Prachatice,"Jihočeský kraj"
Němčice,Strakonice,"Jihočeský kraj"
Němčice,Svitavy,"Pardubický kraj"
Němčičky,Břeclav,"Jihomoravský kraj"
Němčičky,Brno-venkov,"Jihomoravský kraj"
Němčičky,Znojmo,"Jihomoravský kraj"
Němčovice,Rokycany,"Plzeňský kraj"
Němětice,Strakonice,"Jihočeský kraj"
Nemile,Šumperk,"Olomoucký kraj"
Nemíž,Benešov,"Středočeský kraj"
Nemochovice,Vyškov,"Jihomoravský kraj"
Nemojany,Vyškov,"Jihomoravský kraj"
Nemojov,Trutnov,"Královéhradecký kraj"
Nemotice,Vyškov,"Jihomoravský kraj"
Nemyčeves,Jičín,"Královéhradecký kraj"
Nemyslovice,"Mladá Boleslav","Středočeský kraj"
Nemyšl,Tábor,"Jihočeský kraj"
Nenačovice,Beroun,"Středočeský kraj"
Nenkovice,Hodonín,"Jihomoravský kraj"
Neplachov,"České Budějovice","Jihočeský kraj"
Neplachovice,Opava,"Moravskoslezský kraj"
Nepolisy,"Hradec Králové","Královéhradecký kraj"
Nepoměřice,"Kutná Hora","Středočeský kraj"
Nepomuk,Plzeň-jih,"Plzeňský kraj"
Nepomuk,Příbram,"Středočeský kraj"
Nepomyšl,Louny,"Ústecký kraj"
Nepřevázka,"Mladá Boleslav","Středočeský kraj"
Neprobylice,Kladno,"Středočeský kraj"
Neratovice,Mělník,"Středočeský kraj"
Neratov,Pardubice,"Pardubický kraj"
Nerestce,Písek,"Jihočeský kraj"
Neslovice,Brno-venkov,"Jihomoravský kraj"
Nesovice,Vyškov,"Jihomoravský kraj"
Nespeky,Benešov,"Středočeský kraj"
Nestrašovice,Příbram,"Středočeský kraj"
Nesuchyně,Rakovník,"Středočeský kraj"
Nesvačilka,Brno-venkov,"Jihomoravský kraj"
Nesvačily,Beroun,"Středočeský kraj"
Netín,"Žďár nad Sázavou",Vysočina
Netolice,Prachatice,"Jihočeský kraj"
Netřebice,"Český Krumlov","Jihočeský kraj"
Netřebice,Nymburk,"Středočeský kraj"
Netunice,Plzeň-jih,"Plzeňský kraj"
Netvořice,Benešov,"Středočeský kraj"
Neubuz,Zlín,"Zlínský kraj"
Neuměř,Domažlice,"Plzeňský kraj"
Neuměřice,Kladno,"Středočeský kraj"
Neumětely,Beroun,"Středočeský kraj"
Neurazy,Plzeň-jih,"Plzeňský kraj"
Neustupov,Benešov,"Středočeský kraj"
Nevcehle,Jihlava,Vysočina
Neveklov,Benešov,"Středočeský kraj"
Neveklovice,"Mladá Boleslav","Středočeský kraj"
Nevězice,Písek,"Jihočeský kraj"
Nevid,Rokycany,"Plzeňský kraj"
Nevojice,Vyškov,"Jihomoravský kraj"
Nevolice,Domažlice,"Plzeňský kraj"
Nevratice,Jičín,"Královéhradecký kraj"
Nevřeň,Plzeň-sever,"Plzeňský kraj"
Nezabudice,Rakovník,"Středočeský kraj"
Nezabylice,Chomutov,"Ústecký kraj"
Nezamyslice,Klatovy,"Plzeňský kraj"
Nezamyslice,Prostějov,"Olomoucký kraj"
Nezbavětice,Plzeň-město,"Plzeňský kraj"
Nezdenice,"Uherské Hradiště","Zlínský kraj"
"Nezdice na Šumavě",Klatovy,"Plzeňský kraj"
Nezdice,Plzeň-jih,"Plzeňský kraj"
Nezdřev,Plzeň-jih,"Plzeňský kraj"
Nezvěstice,Plzeň-město,"Plzeňský kraj"
Nicov,Prachatice,"Jihočeský kraj"
Nihošovice,Strakonice,"Jihočeský kraj"
Níhov,Brno-venkov,"Jihomoravský kraj"
Nikolčice,Břeclav,"Jihomoravský kraj"
Niměřice,"Mladá Boleslav","Středočeský kraj"
Nimpšov,Třebíč,Vysočina
Nišovice,Strakonice,"Jihočeský kraj"
Nítkovice,Kroměříž,"Zlínský kraj"
Niva,Prostějov,"Olomoucký kraj"
Nivnice,"Uherské Hradiště","Zlínský kraj"
Nižbor,Beroun,"Středočeský kraj"
Nížkovice,Vyškov,"Jihomoravský kraj"
Nížkov,"Žďár nad Sázavou",Vysočina
"Nižní Lhoty",Frýdek-Místek,"Moravskoslezský kraj"
Norberčany,Olomouc,"Olomoucký kraj"
Nosálov,Mělník,"Středočeský kraj"
Nosislav,Brno-venkov,"Jihomoravský kraj"
Nošovice,Frýdek-Místek,"Moravskoslezský kraj"
"Nová Buková",Pelhřimov,Vysočina
"Nová Bystřice","Jindřichův Hradec","Jihočeský kraj"
"Nová Cerekev",Pelhřimov,Vysočina
"Nová Dědina",Kroměříž,"Zlínský kraj"
"Nová Hradečná",Olomouc,"Olomoucký kraj"
"Nová Lhota",Hodonín,"Jihomoravský kraj"
"Nová Olešná","Jindřichův Hradec","Jihočeský kraj"
"Nová Paka",Jičín,"Královéhradecký kraj"
"Nová Pec",Prachatice,"Jihočeský kraj"
"Nová Pláň",Bruntál,"Moravskoslezský kraj"
"Nová Říše",Jihlava,Vysočina
"Nová Role","Karlovy Vary","Karlovarský kraj"
"Nová Sídla",Svitavy,"Pardubický kraj"
"Nová Telib","Mladá Boleslav","Středočeský kraj"
"Nová Včelnice","Jindřichův Hradec","Jihočeský kraj"
"Nová Ves",Brno-venkov,"Jihomoravský kraj"
"Nová Ves","České Budějovice","Jihočeský kraj"
"Nová Ves","Český Krumlov","Jihočeský kraj"
"Nová Ves",Domažlice,"Plzeňský kraj"
"Nová Ves I",Kolín,"Středočeský kraj"
"Nová Ves",Liberec,"Liberecký kraj"
"Nová Ves",Louny,"Ústecký kraj"
"Nová Ves",Mělník,"Středočeský kraj"
"Nová Ves nad Lužnicí","Jindřichův Hradec","Jihočeský kraj"
"Nová Ves nad Nisou","Jablonec nad Nisou","Liberecký kraj"
"Nová Ves nad Popelkou",Semily,"Liberecký kraj"
"Nová Ves",Plzeň-jih,"Plzeňský kraj"
"Nová Ves pod Pleší",Příbram,"Středočeský kraj"
"Nová Ves",Praha-východ,"Středočeský kraj"
"Nová Ves","Rychnov nad Kněžnou","Královéhradecký kraj"
"Nová Ves",Sokolov,"Karlovarský kraj"
"Nová Ves",Strakonice,"Jihočeský kraj"
"Nová Ves",Třebíč,Vysočina
"Nová Ves u Bakova","Mladá Boleslav","Středočeský kraj"
"Nová Ves u Chotěboře","Havlíčkův Brod",Vysočina
"Nová Ves u Chýnova",Tábor,"Jihočeský kraj"
"Nová Ves u Jarošova",Svitavy,"Pardubický kraj"
"Nová Ves u Leštiny","Havlíčkův Brod",Vysočina
"Nová Ves u Mladé Vožice",Tábor,"Jihočeský kraj"
"Nová Ves u Nového Města na Mor.","Žďár nad Sázavou",Vysočina
"Nová Ves u Světlé","Havlíčkův Brod",Vysočina
"Nová Ves v Horách",Most,"Ústecký kraj"
"Nová Ves","Žďár nad Sázavou",Vysočina
"Nové Bránice",Brno-venkov,"Jihomoravský kraj"
"Nové Dvory","Kutná Hora","Středočeský kraj"
"Nové Dvory",Litoměřice,"Ústecký kraj"
"Nové Dvory",Příbram,"Středočeský kraj"
"Nové Dvory","Žďár nad Sázavou",Vysočina
"Nové Hamry","Karlovy Vary","Karlovarský kraj"
"Nové Heřminovy",Bruntál,"Moravskoslezský kraj"
"Nové Hrady","České Budějovice","Jihočeský kraj"
"Nové Hrady","Ústí nad Orlicí","Pardubický kraj"
"Nové Hutě",Prachatice,"Jihočeský kraj"
"Nové Lublice",Opava,"Moravskoslezský kraj"
"Nové Město","Hradec Králové","Královéhradecký kraj"
"Nové Město nad Metují",Náchod,"Královéhradecký kraj"
"Nové Město na Moravě","Žďár nad Sázavou",Vysočina
"Nové Město pod Smrkem",Liberec,"Liberecký kraj"
"Nové Mitrovice",Plzeň-jih,"Plzeňský kraj"
"Nové Sady",Vyškov,"Jihomoravský kraj"
"Nové Sady","Žďár nad Sázavou",Vysočina
"Nové Sedlice",Opava,"Moravskoslezský kraj"
"Nové Sedlo",Louny,"Ústecký kraj"
"Nové Sedlo",Sokolov,"Karlovarský kraj"
"Nové Strašecí",Rakovník,"Středočeský kraj"
"Nové Syrovice",Třebíč,Vysočina
"Nové Veselí","Žďár nad Sázavou",Vysočina
"Noviny pod Ralskem","Česká Lípa","Liberecký kraj"
Novosedlice,Teplice,"Ústecký kraj"
Novosedly,Břeclav,"Jihomoravský kraj"
"Novosedly nad Nežárkou","Jindřichův Hradec","Jihočeský kraj"
Novosedly,Strakonice,"Jihočeský kraj"
"Nový Bor","Česká Lípa","Liberecký kraj"
"Nový Bydžov","Hradec Králové","Královéhradecký kraj"
"Nový Dům",Rakovník,"Středočeský kraj"
"Nový Dvůr",Nymburk,"Středočeský kraj"
"Nový Hrádek",Náchod,"Královéhradecký kraj"
"Nový Hrozenkov",Vsetín,"Zlínský kraj"
"Nový Jáchymov",Beroun,"Středočeský kraj"
"Nový Jičín","Nový Jičín","Moravskoslezský kraj"
"Nový Jimramov","Žďár nad Sázavou",Vysočina
"Nový Knín",Příbram,"Středočeský kraj"
"Nový Kostel",Cheb,"Karlovarský kraj"
"Nový Kramolín",Domažlice,"Plzeňský kraj"
"Nový Malín",Šumperk,"Olomoucký kraj"
"Nový Oldřichov","Česká Lípa","Liberecký kraj"
"Nový Ples",Náchod,"Královéhradecký kraj"
"Nový Poddvorov",Hodonín,"Jihomoravský kraj"
"Nový Přerov",Břeclav,"Jihomoravský kraj"
"Nový Rychnov",Pelhřimov,Vysočina
"Nový Šaldorf-Sedlešovice",Znojmo,"Jihomoravský kraj"
"Nový Telečkov",Třebíč,Vysočina
"Nový Vestec",Praha-východ,"Středočeský kraj"
Nučice,Praha-východ,"Středočeský kraj"
Nučice,Praha-západ,"Středočeský kraj"
Nupaky,Praha-východ,"Středočeský kraj"
Nýdek,Frýdek-Místek,"Moravskoslezský kraj"
Nyklovice,"Žďár nad Sázavou",Vysočina
Nymburk,Nymburk,"Středočeský kraj"
Nýřany,Plzeň-sever,"Plzeňský kraj"
Nýrov,Blansko,"Jihomoravský kraj"
Nýrsko,Klatovy,"Plzeňský kraj"
Občov,Příbram,"Středočeský kraj"
"Obec Bohdalovice","Český Krumlov","Jihočeský kraj"
Obecnice,Příbram,"Středočeský kraj"
Obědkovice,Prostějov,"Olomoucký kraj"
Obědovice,"Hradec Králové","Královéhradecký kraj"
Obora,Blansko,"Jihomoravský kraj"
Obora,Louny,"Ústecký kraj"
Obora,Plzeň-sever,"Plzeňský kraj"
Obora,Tachov,"Plzeňský kraj"
Obořiště,Příbram,"Středočeský kraj"
Oborná,Bruntál,"Moravskoslezský kraj"
Obory,Příbram,"Středočeský kraj"
Obrataň,Pelhřimov,Vysočina
Obříství,Mělník,"Středočeský kraj"
Obrnice,Most,"Ústecký kraj"
Obrubce,"Mladá Boleslav","Středočeský kraj"
Obruby,"Mladá Boleslav","Středočeský kraj"
Obyčtov,"Žďár nad Sázavou",Vysočina
Obytce,Klatovy,"Plzeňský kraj"
Očelice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Ochoz,Prostějov,"Olomoucký kraj"
"Ochoz u Brna",Brno-venkov,"Jihomoravský kraj"
"Ochoz u Tišnova",Brno-venkov,"Jihomoravský kraj"
Očihov,Louny,"Ústecký kraj"
Ocmanice,Třebíč,Vysočina
"Odolena Voda",Praha-východ,"Středočeský kraj"
Odrava,Cheb,"Karlovarský kraj"
Odřepsy,Nymburk,"Středočeský kraj"
Odrovice,Brno-venkov,"Jihomoravský kraj"
Odry,"Nový Jičín","Moravskoslezský kraj"
Odunec,Třebíč,Vysočina
Ohaře,Kolín,"Středočeský kraj"
Ohařice,Jičín,"Královéhradecký kraj"
Ohaveč,Jičín,"Královéhradecký kraj"
Ohníč,Teplice,"Ústecký kraj"
Ohnišov,"Rychnov nad Kněžnou","Královéhradecký kraj"
Ohnišťany,"Hradec Králové","Královéhradecký kraj"
Ohrazenice,Příbram,"Středočeský kraj"
Ohrazenice,Semily,"Liberecký kraj"
Ohrobec,Praha-západ,"Středočeský kraj"
Ohrozim,Prostějov,"Olomoucký kraj"
Okarec,Třebíč,Vysočina
Okna,"Česká Lípa","Liberecký kraj"
Okoř,Praha-západ,"Středočeský kraj"
Okounov,Chomutov,"Ústecký kraj"
Okřesaneč,"Kutná Hora","Středočeský kraj"
Okřešice,Třebíč,Vysočina
Okřínek,Nymburk,"Středočeský kraj"
Okříšky,Třebíč,Vysočina
Okrouhlá,Blansko,"Jihomoravský kraj"
Okrouhlá,"Česká Lípa","Liberecký kraj"
Okrouhlá,Cheb,"Karlovarský kraj"
Okrouhlá,Písek,"Jihočeský kraj"
"Okrouhlá Radouň","Jindřichův Hradec","Jihočeský kraj"
Okrouhlice,"Havlíčkův Brod",Vysočina
Okrouhlička,"Havlíčkův Brod",Vysočina
Okrouhlo,Praha-západ,"Středočeský kraj"
Olbramice,Olomouc,"Olomoucký kraj"
Olbramice,Ostrava-město,"Moravskoslezský kraj"
Olbramkostel,Znojmo,"Jihomoravský kraj"
Olbramovice,Benešov,"Středočeský kraj"
Olbramovice,Znojmo,"Jihomoravský kraj"
Olbramov,Tachov,"Plzeňský kraj"
Oldřichovice,Zlín,"Zlínský kraj"
Oldřichov,Přerov,"Olomoucký kraj"
Oldřichov,Tábor,"Jihočeský kraj"
"Oldřichov v Hájích",Liberec,"Liberecký kraj"
Oldřišov,Opava,"Moravskoslezský kraj"
Oldřiš,Svitavy,"Pardubický kraj"
Oleksovice,Znojmo,"Jihomoravský kraj"
Olešenka,"Havlíčkův Brod",Vysočina
Oleška,Praha-východ,"Středočeský kraj"
Oleško,Litoměřice,"Ústecký kraj"
Olešná,Beroun,"Středočeský kraj"
Olešná,"Havlíčkův Brod",Vysočina
Olešná,Pelhřimov,Vysočina
Olešná,Písek,"Jihočeský kraj"
Olešná,Rakovník,"Středočeský kraj"
Olešnice,Blansko,"Jihomoravský kraj"
Olešnice,"České Budějovice","Jihočeský kraj"
Olešnice,"Hradec Králové","Královéhradecký kraj"
Olešnice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Olešnice,Semily,"Liberecký kraj"
"Olešnice v Orlických horách","Rychnov nad Kněžnou","Královéhradecký kraj"
Olešník,"České Budějovice","Jihočeský kraj"
Olomouc,Olomouc,"Olomoucký kraj"
Olomučany,Blansko,"Jihomoravský kraj"
Oloví,Sokolov,"Karlovarský kraj"
Olovnice,Mělník,"Středočeský kraj"
Olšany,Jihlava,Vysočina
Olšany,Klatovy,"Plzeňský kraj"
